Sales,idk1,example,testing
50,50,50,50
30,30,30,30
40,40,40,40
60,60,60,60
70,70,70,70
55,55,55,55
65,65,65,65
75,75,75,75
85,85,85,85
90,90,90,90
100,100,100,100
120,120,120,120
110,110,110,110
90,90,90,90
80,80,80,80
70,70,70,70
75,75,75,75
65,65,65,65
50,50,50,50
40,40,40,40
45,45,45,45
55,55,55,55
75,75,75,75
80,80,80,80
90,90,90,90
95,95,95,95
110,110,110,110
120,120,120,120
130,130,130,130
150,150,150,150
50,50,50,50
30,30,30,30
40,40,40,40
60,60,60,60
70,70,70,70
55,55,55,55
65,65,65,65
75,75,75,75
85,85,85,85
90,90,90,90
100,100,100,100
120,120,120,120
110,110,110,110
90,90,90,90
80,80,80,80
70,70,70,70
75,75,75,75
65,65,65,65
50,50,50,50
40,40,40,40
45,45,45,45
55,55,55,55
75,75,75,75
80,80,80,80
90,90,90,90
95,95,95,95
110,110,110,110
120,120,120,120
130,130,130,130
150,150,150,150
50,50,50,50
30,30,30,30
40,40,40,40
60,60,60,60
70,70,70,70
55,55,55,55
65,65,65,65
75,75,75,75
85,85,85,85
90,90,90,90
100,100,100,100
120,120,120,120
110,110,110,110
90,90,90,90
80,80,80,80
70,70,70,70
75,75,75,75
65,65,65,65
50,50,50,50
40,40,40,40
45,45,45,45
55,55,55,55
75,75,75,75
80,80,80,80
90,90,90,90
95,95,95,95
110,110,110,110
120,120,120,120
130,130,130,130
150,150,150,150
50,50,50,50
30,30,30,30
40,40,40,40
60,60,60,60
70,70,70,70
55,55,55,55
65,65,65,65
75,75,75,75
85,85,85,85
90,90,90,90
100,100,100,100
120,120,120,120
110,110,110,110
90,90,90,90
80,80,80,80
70,70,70,70
75,75,75,75
65,65,65,65
50,50,50,50
40,40,40,40
45,45,45,45
55,55,55,55
75,75,75,75
80,80,80,80
90,90,90,90
95,95,95,95
110,110,110,110
120,120,120,120
130,130,130,130
150,150,150,150
50,50,50,50
30,30,30,30
40,40,40,40
60,60,60,60
70,70,70,70
55,55,55,55
65,65,65,65
75,75,75,75
85,85,85,85
90,90,90,90
100,100,100,100
120,120,120,120
110,110,110,110
90,90,90,90
80,80,80,80
70,70,70,70
75,75,75,75
65,65,65,65
50,50,50,50
40,40,40,40
45,45,45,45
55,55,55,55
75,75,75,75
80,80,80,80
90,90,90,90
95,95,95,95
110,110,110,110
120,120,120,120
130,130,130,130
150,150,150,150
50,50,50,50
30,30,30,30
40,40,40,40
60,60,60,60
70,70,70,70
55,55,55,55
65,65,65,65
75,75,75,75
85,85,85,85
90,90,90,90
100,100,100,100
120,120,120,120
110,110,110,110
90,90,90,90
80,80,80,80
70,70,70,70
75,75,75,75
65,65,65,65
50,50,50,50
40,40,40,40
45,45,45,45
55,55,55,55
75,75,75,75
80,80,80,80
90,90,90,90
95,95,95,95
110,110,110,110
120,120,120,120
130,130,130,130
150,150,150,150
50,50,50,50
30,30,30,30
40,40,40,40
60,60,60,60
70,70,70,70
55,55,55,55
65,65,65,65
75,75,75,75
85,85,85,85
90,90,90,90
100,100,100,100
120,120,120,120
110,110,110,110
90,90,90,90
80,80,80,80
70,70,70,70
75,75,75,75
65,65,65,65
50,50,50,50
40,40,40,40
45,45,45,45
55,55,55,55
75,75,75,75
80,80,80,80
90,90,90,90
95,95,95,95
110,110,110,110
120,120,120,120
130,130,130,130
150,150,150,150
50,50,50,50
30,30,30,30
40,40,40,40
60,60,60,60
70,70,70,70
55,55,55,55
65,65,65,65
75,75,75,75
85,85,85,85
90,90,90,90
100,100,100,100
120,120,120,120
110,110,110,110
90,90,90,90
80,80,80,80
70,70,70,70
75,75,75,75
65,65,65,65
50,50,50,50
40,40,40,40
45,45,45,45
55,55,55,55
75,75,75,75
80,80,80,80
90,90,90,90
95,95,95,95
110,110,110,110
120,120,120,120
130,130,130,130
150,150,150,150
50,50,50,50
30,30,30,30
40,40,40,40
60,60,60,60
70,70,70,70
55,55,55,55
65,65,65,65
75,75,75,75
85,85,85,85
90,90,90,90
100,100,100,100
120,120,120,120
110,110,110,110
90,90,90,90
80,80,80,80
70,70,70,70
75,75,75,75
65,65,65,65
50,50,50,50
40,40,40,40
45,45,45,45
55,55,55,55
75,75,75,75
80,80,80,80
90,90,90,90
95,95,95,95
110,110,110,110
120,120,120,120
130,130,130,130
150,150,150,150
50,50,50,50
30,30,30,30
40,40,40,40
60,60,60,60
70,70,70,70
55,55,55,55
65,65,65,65
75,75,75,75
85,85,85,85
90,90,90,90
100,100,100,100
120,120,120,120
110,110,110,110
90,90,90,90
80,80,80,80
70,70,70,70
75,75,75,75
65,65,65,65
50,50,50,50
40,40,40,40
45,45,45,45
55,55,55,55
75,75,75,75
80,80,80,80
90,90,90,90
95,95,95,95
110,110,110,110
120,120,120,120
130,130,130,130
150,150,150,150
50,50,50,50
30,30,30,30
40,40,40,40
60,60,60,60
70,70,70,70
55,55,55,55
65,65,65,65
75,75,75,75
85,85,85,85
90,90,90,90
100,100,100,100
120,120,120,120
110,110,110,110
90,90,90,90
80,80,80,80
70,70,70,70
75,75,75,75
65,65,65,65
50,50,50,50
40,40,40,40
45,45,45,45
55,55,55,55
75,75,75,75
80,80,80,80
90,90,90,90
95,95,95,95
110,110,110,110
120,120,120,120
130,130,130,130
150,150,150,150
50,50,50,50
30,30,30,30
40,40,40,40
60,60,60,60
70,70,70,70
55,55,55,55
65,65,65,65
75,75,75,75
85,85,85,85
90,90,90,90
100,100,100,100
120,120,120,120
110,110,110,110
90,90,90,90
80,80,80,80
70,70,70,70
75,75,75,75
65,65,65,65
50,50,50,50
40,40,40,40
45,45,45,45
55,55,55,55
75,75,75,75
80,80,80,80
90,90,90,90
95,95,95,95
110,110,110,110
120,120,120,120
130,130,130,130
150,150,150,150
50,50,50,50
30,30,30,30
40,40,40,40
60,60,60,60
70,70,70,70
55,55,55,55
65,65,65,65
75,75,75,75
85,85,85,85
90,90,90,90
100,100,100,100
120,120,120,120
110,110,110,110
90,90,90,90
80,80,80,80
70,70,70,70
75,75,75,75
65,65,65,65
50,50,50,50
40,40,40,40
45,45,45,45
55,55,55,55
75,75,75,75
80,80,80,80
90,90,90,90
95,95,95,95
110,110,110,110
120,120,120,120
130,130,130,130
150,150,150,150
50,50,50,50
30,30,30,30
40,40,40,40
60,60,60,60
70,70,70,70
55,55,55,55
65,65,65,65
75,75,75,75
85,85,85,85
90,90,90,90
100,100,100,100
120,120,120,120
110,110,110,110
90,90,90,90
80,80,80,80
70,70,70,70
75,75,75,75
65,65,65,65
50,50,50,50
40,40,40,40
45,45,45,45
55,55,55,55
75,75,75,75
80,80,80,80
90,90,90,90
95,95,95,95
110,110,110,110
120,120,120,120
130,130,130,130
150,150,150,150